"","name","nclients","nthreads","cc","phasing","cc_ph","rate","facet","zipf","commute_ratio","timeout_scaling","throughput","op_timeouts","txn_failed"
"1","v0.28.1-sampa",4,4,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1582.20913852988,0,0
"2","v0.28.1-sampa",4,16,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6326.95331850537,0,0
"3","v0.28.1-sampa",4,32,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,12630.2454683531,0,0
"4","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,18177.0841937967,0,0
"5","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,18358.8834210639,47,0
"18","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.2",0.2,"0.5",1000,18576.2393710363,0,0
"19","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.4",0.4,"0.5",1000,18612.8733809146,0,0
"20","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.8",0.8,"0.5",1000,17402.6798167624,0,0
"21","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 1",1,"0.5",1000,15357.1334091691,0,0
"22","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 1.2",1.2,"0.5",1000,12651.3609999967,1,0
"23","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.2",0.2,"0.5",1000,19188.0454557439,24,0
"24","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.4",0.4,"0.5",1000,18821.2340031442,23,0
"25","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.8",0.8,"0.5",1000,17603.5128435044,48,0
"26","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 1",1,"0.5",1000,15026.2379323652,66,0
"27","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 1.2",1.2,"0.5",1000,12742.6876074624,84,0
"28","v0.28.1-sampa",4,4,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1582.81432139883,0,0
"29","v0.28.1-sampa",4,16,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6325.69397573537,0,0
"30","v0.28.1-sampa",4,32,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,12627.7253660073,0,0
"31","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,17959.0784555438,0,0
"32","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,18867.0738178498,35,0
"45","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.2",0.2,"0.5",1000,18655.2450071551,1,0
"46","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.4",0.4,"0.5",1000,18503.5820974436,0,0
"47","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.8",0.8,"0.5",1000,17376.5550429,0,0
"48","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 1",1,"0.5",1000,14839.2942172372,0,0
"49","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 1.2",1.2,"0.5",1000,12673.1808360329,3,0
"50","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.2",0.2,"0.5",1000,19046.7652574578,15,0
"51","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.4",0.4,"0.5",1000,18935.7374779556,30,0
"52","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.8",0.8,"0.5",1000,17747.2904195564,40,0
"53","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 1",1,"0.5",1000,14990.9405641603,53,0
"54","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 1.2",1.2,"0.5",1000,12758.8904107329,56,0
"55","v0.28.1-sampa",4,4,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1581.82756840475,0,0
"56","v0.28.1-sampa",4,16,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6325.65809158427,0,0
"57","v0.28.1-sampa",4,32,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,12631.2857128644,0,0
"58","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,18313.9584834086,0,0
"59","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.6",0.6,"0.5",1000,18766.0456578267,46,0
"72","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.2",0.2,"0.5",1000,18737.1489188734,1,0
"73","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.4",0.4,"0.5",1000,18546.5613938839,0,0
"74","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 0.8",0.8,"0.5",1000,16700.1973495003,0,0
"75","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 1",1,"0.5",1000,15430.2568579213,1,0
"76","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"50% update
zipf: 1.2",1.2,"0.5",1000,12965.4040604569,0,0
"77","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.2",0.2,"0.5",1000,19087.7475202648,16,0
"78","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.4",0.4,"0.5",1000,18969.0463398475,26,0
"79","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 0.8",0.8,"0.5",1000,17066.5118779456,42,0
"80","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 1",1,"0.5",1000,15051.5633914761,63,0
"81","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"50% update
zipf: 1.2",1.2,"0.5",1000,12696.3773403016,65,0
"82","v0.28.1-sampa",4,4,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.71251740472,0,0
"83","v0.28.1-sampa",4,4,"boosting","off","boosting",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.46437804846,0,0
"84","v0.28.1-sampa",4,4,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.46437804846,0,0
"85","v0.28.1-sampa",4,4,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.65704310282,0,0
"86","v0.28.1-sampa",4,4,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.37997388129,0,0
"87","v0.28.1-sampa",4,4,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,1583.06599106527,0,0
"88","v0.28.1-sampa",4,16,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.6",0.6,"0.5",1000,4095.28306278388,0,1356
"89","v0.28.1-sampa",4,16,"boosting","off","boosting",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6340.9291409358,0,0
"90","v0.28.1-sampa",4,16,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6261.67539894414,0,0
"91","v0.28.1-sampa",4,16,"boosting","on","boosting
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6337.30607896664,0,0
"92","v0.28.1-sampa",4,16,"boosting
 + combining","off","boosting
 + combining",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6339.55027600029,0,0
"93","v0.28.1-sampa",4,16,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6338.62462046556,0,0
"94","v0.28.1-sampa",4,32,"r/w locks","off","r/w locks
(baseline)",100,"50% update
zipf: 0.6",0.6,"0.5",1000,3011.56718884262,0,4712
"95","v0.28.1-sampa",4,32,"boosting","off","boosting",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6914.61080391323,0,108
"96","v0.28.1-sampa",4,32,"r/w locks","on","r/w locks
 + phasing",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6996.59766943673,4240,0
