"","name","nclients","nthreads","cc","rate","scale","mix","workload","alpha","phasing","async","cc_ph","timeout_scaling","throughput","op_timeouts","avg_latency_ms","txn_failed","total_time"
"1","v0.30-sampa","4",4,"r/w locks",50,"16","geom_repost","post-heavy: ~50% post/repost","-1","on",0,"r/w locks
 + phasing",500,891.582166371998,60,16.266750760555,0,60.4633
"2","v0.30-sampa","4",4,"boosting",50,"16","geom_repost","post-heavy: ~50% post/repost","-1","on",0,"boosting
 + phasing",500,3924.47296058662,1,3.1270553064275,0,60.005
"3","v0.30-sampa","4",4,"r/w locks",50,"16","geom_repost","post-heavy: ~50% post/repost","-1","off",0,"without
transactions",500,4410.80144596778,0,2.41746986131674,0,60.029
"4","v0.30-sampa","4",4,"r/w locks",50,"16","2read2heavy","read-heavy: ~5% post/repost","-1","on",0,"r/w locks
 + phasing",500,4932.66161545484,30,1.74730144148282,0,60.0252
"5","v0.30-sampa","4",4,"boosting",50,"16","2read2heavy","read-heavy: ~5% post/repost","-1","on",0,"boosting
 + phasing",500,5680.06278963971,0,1.37908818869917,0,60.0099
"6","v0.30-sampa","4",4,"r/w locks",50,"16","2read2heavy","read-heavy: ~5% post/repost","-1","off",0,"without
transactions",500,5698.14734898787,0,1.12535089360906,0,60.0167
"7","v0.30-sampa","4",4,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~50% post/repost","-1","on",0,"boosting
 + combining
 + phasing",500,3859.1801841736,9,3.18609230344065,0,60.0086
"8","v0.30-sampa","4",4,"boosting
 + combining",50,"16","2read2heavy","read-heavy: ~5% post/repost","-1","on",0,"boosting
 + combining
 + phasing",500,5677.44343736825,0,1.35933500833588,0,60.0087
"9","v0.30-sampa","4",8,"r/w locks",50,"16","geom_repost","post-heavy: ~50% post/repost","-1","on",0,"r/w locks
 + phasing",500,1002.47944322208,237,27.8833631722034,0,60.1748
"10","v0.30-sampa","4",8,"boosting",50,"16","geom_repost","post-heavy: ~50% post/repost","-1","on",0,"boosting
 + phasing",500,6137.79150960061,2,4.61107551288595,0,60.0066
"11","v0.30-sampa","4",8,"r/w locks",50,"16","geom_repost","post-heavy: ~50% post/repost","-1","off",0,"without
transactions",500,8596.7378702877,0,2.76296841697346,0,60.0344
"12","v0.30-sampa","4",8,"r/w locks",50,"16","2read2heavy","read-heavy: ~5% post/repost","-1","on",0,"r/w locks
 + phasing",500,8499.90532851007,36,2.34095403349982,0,60.2082
"13","v0.30-sampa","4",8,"boosting",50,"16","2read2heavy","read-heavy: ~5% post/repost","-1","on",0,"boosting
 + phasing",500,12205.121710614,2,1.35400931675323,0,60.0112
"14","v0.30-sampa","4",8,"r/w locks",50,"16","2read2heavy","read-heavy: ~5% post/repost","-1","off",0,"without
transactions",500,12232.5587594378,0,0.97453190457772,0,60.0244
"15","v0.30-sampa","4",8,"boosting
 + combining",50,"16","geom_repost","post-heavy: ~50% post/repost","-1","on",0,"boosting
 + combining
 + phasing",500,6503.62445633155,23,4.31432114708565,0,60.009
