"","name","nclients","nthreads","cc","phasing","cc_ph","rate","alpha","commute_ratio","timeout_scaling","throughput","op_timeouts","avg_latency_ms","txn_failed"
"6","v0.27.5-sampa",4,4,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1583.49740647831,0,0.578639653286207,0
"7","v0.27.5-sampa",4,16,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,4302.43736922468,0,1.87338405393703,1204
"8","v0.27.5-sampa",4,32,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2917.752779292,0,4.96189818379456,4664
"9","v0.27.5-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2161.50513321527,1,11.2038789454589,8684
"10","v0.27.5-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1838.13496297733,18,18.3482268505488,11476
"11","v0.27.5-sampa",4,4,"boosting","off","boosting",100,"0.6","0.5",1000,1583.82061405701,0,0.569646162908112,0
"12","v0.27.5-sampa",4,16,"boosting","off","boosting",100,"0.6","0.5",1000,6344.65856151953,0,0.737251485314803,0
"13","v0.27.5-sampa",4,32,"boosting","off","boosting",100,"0.6","0.5",1000,7009.68929720165,0,4.11112271044889,112
"14","v0.27.5-sampa",4,64,"boosting","off","boosting",100,"0.6","0.5",1000,5893.76688377335,2,10.4086338379862,704
"15","v0.27.5-sampa",4,96,"boosting","off","boosting",100,"0.6","0.5",1000,5483.37602644558,16,16.6131259757416,920
"16","v0.27.5-sampa",4,4,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,1583.65040547474,0,0.544035597071447,0
"17","v0.27.5-sampa",4,16,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6288.4294576173,0,0.615850171559283,0
"18","v0.27.5-sampa",4,32,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,7394.48650876481,0,2.45428638210651,0
"19","v0.27.5-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,7475.93607592222,16,6.63946220801921,0
"20","v0.27.5-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,7544.89527166471,43,10.7193469954845,0
"21","v0.27.5-sampa",4,4,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,1584.06604939711,0,0.546171967020024,0
"22","v0.27.5-sampa",4,16,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,6342.92222540446,0,0.589413222446237,0
"23","v0.27.5-sampa",4,32,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10780.6213957946,1,2.01169531076376,0
"24","v0.27.5-sampa",4,64,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,11159.652705148,11,5.29359261198648,0
"25","v0.27.5-sampa",4,96,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,11289.971591191,39,8.09515021559805,0
"26","v0.27.5-sampa",4,4,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,1584.17820838734,0,0.582417767308825,0
"27","v0.27.5-sampa",4,16,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6344.32595533234,0,0.66739459096254,0
"28","v0.27.5-sampa",4,32,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,7570.16061424636,0,3.77361177028951,36
"29","v0.27.5-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6781.55732809535,0,9.19290760710022,216
"30","v0.27.5-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6451.46793992764,10,14.4362950974166,320
"31","v0.27.5-sampa",4,4,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,1583.51576218608,0,0.546799511825604,0
"32","v0.27.5-sampa",4,16,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,6342.75494809619,0,0.670772688131393,0
"33","v0.27.5-sampa",4,32,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11097.5041597338,0,1.99464435648315,0
"34","v0.27.5-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11818.8821591754,10,5.04135667887887,0
"35","v0.27.5-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,12162.0180380701,40,7.60531275191181,0
"234","v0.27.5-sampa",4,4,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1584.07660501704,0,0.570259128386337,0
"235","v0.27.5-sampa",4,16,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,4096.60113284485,0,2.00008118991946,1328
"236","v0.27.5-sampa",4,32,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2946.22319752532,0,4.86201597343743,4696
"237","v0.27.5-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2206.03374741404,1,11.1861925925926,8672
"238","v0.27.5-sampa",4,96,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1746.96595077649,17,19.5528380078443,11236
"239","v0.27.5-sampa",4,4,"boosting","off","boosting",100,"0.6","0.5",1000,1583.80478313309,0,0.56427128912824,0
